platName	amount	bidderNum	borrowerNum	incomeRate	loanPeriod	totalLoanNum	regCapital	fullloanTime	stayStillOfTotal	netInflowOfThirty	top10DueInProportion	avgBidMoney	top10StayStillProportion	avgBorrowMoney	timeOperation	developZhishu
陆金所	231122.96	37156	73014	6.96	20.48	73014	83667	0	11702613.15	45711.47	5.25	6.22	0.01	3.17	60	1
红岭创投	26760.62	12874	2752	6.4	1.06	10169	6000	14.61	1538178.83	1142.72	1.6	2.08	12.42	9.72	94	35
微贷网	23807.29	11051	3292	8.37	2.66	3307	12195	1.27	1352275.78	4481.33	4.29	2.15	0.5	7.23	66	5
团贷网	22295.25	21630	1199	10.16	6.17	3669	10000	73.66	1848808.4	9003.86	1.63	1.03	2.6	18.59	54	17
PPmoney	15242.86	40416	15484	8.96	6.89	17757	15000	5.22	959261.89	10726.66	0.78	0.38	1.19	0.98	49	16
鑫合汇	15174.44	6555	32	8.19	3.3	4408	5313	13.09	441896.42	7032.39	5.91	2.31	67.75	474.2	37	48
拍拍贷	14926.71	19985	56898	17.83	11.52	58425	10000	1.37	1463202.42	9530.88	20.48	0.75	0.07	0.26	115	6
口袋理财	9263.26	22167	43747	8.36	1.92	164581	5000	5.36	432721.17	4169.83	1.07	0.42	8.75	0.21	25	30
爱钱进	9164.15	51256	75731	12.08	31.05	114934	20000	0.19	1421317.55	4961.81	7.55	0.18	0.02	0.12	32	8
宜人贷	9011.18	66141	1461	11.68	33.06	1461	3000	1.32	2883232.12	6399.62	0.96	0.14	0.02	6.17	54	2
有利网	8983.11	57112	5521	10.29	24.8	28535	5000	0.02	1088010.21	5645.31	0.8	0.16	0.2	1.63	47	10
你我贷	8316.32	45451	27718	11.25	21.19	72059	10000	1.62	1654923.5	851.38	7.44	0.18	0.74	0.3	67	26
麻袋理财	8173.13	12098	22742	8.03	18.5	45720	11000	1.96	565935.36	4748.12	6.15	0.68	0.09	0.36	25	15
金票通	7388.54	675	10	5.21	8.38	37	3000	98366.76	943231.79	6163.76	89.06	10.95	13.03	738.85	28	0
小牛在线	6685.72	4365	351	10.88	7.19	354	10300	23.28	1125275.29	-3008.03	0.68	1.53	0.42	19.05	43	0
信和大金融	6642.61	605	212	8.02	6.16	212	5000	0	920261.15	3955.49	3.12	10.98	2.99	31.33	33	0
投哪网	6579.6	16428	799	10.42	9.9	801	10000	0.02	847411.13	4452.51	10.73	0.4	0.35	8.23	56	11
民贷天下	6573.6	7637	5159	6.74	3.03	5216	20000	11.26	183412.01	-260.21	3.45	0.86	74.95	1.27	25	23
向上金服	6433.65	3831	56	10.24	2.06	60	10000	522.88	285323.93	1760.78	3.43	1.68	12.81	114.89	41	55
东方汇	6263	861	62	4.99	2.42	62	20000	478.39	255074.49	-743.5	12.66	7.27	8.27	101.02	31	22
翼龙贷	6202.05	3111	30	9.76	7.31	30	10000	42.16	3086645.28	-80.05	3.4	1.99	0.47	206.74	69	13
金信网	6041.26	1071	419	9.46	8.07	419	10000	225.28	698822.08	2683.92	1.65	5.64	3.77	14.42	32	72
聚宝匯	5818.2	606	7	7.2	4.95	17	300000	467.2	2686717.74	3589	1.88	9.6	63.73	831.17	30	83
爱投资	5668.61	4486	222	11.89	13.26	612	10000	124.71	843213.59	4209.12	1.65	1.26	70.94	25.53	46	0
宜贷网	4928.59	2452	1020	9.1	4.02	10905	10000	1.3	281792.14	175.19	5.68	2.01	2.6	4.83	36	12
开鑫贷	4890.6	379	13	6.73	14.45	43	14024	231.72	767510.43	-542.4	2.45	12.9	43.67	376.2	49	9
财富中国	4859.7	690	208	9.98	11.99	215	86000	174.58	320116.8	3599.34	3.81	7.04	3.48	23.36	31	0
泰然金融	4742.56	2304	9	9.3	2.91	9	5000	1027.37	51372.28	123.48	23.33	2.06	23.81	526.95	29	0
十六铺金融	4580	429	13	11.06	0.46	13	6000	87.84	54209.45	1602.89	27.65	10.68	33.88	352.31	19	87
温商贷	4372.71	5479	17	10.37	3.75	63	10000	270.91	344879.79	1862.43	2.35	0.8	8.07	257.22	46	51
e路同心	4245.82	13439	132	6.97	1.1	218	20000	4.64	117136.86	2102.56	9.78	0.32	6.76	32.17	24	18
首金网	4234	586	27	8.36	2.3	30	10000	17.09	135493.06	1806.2	10.95	7.23	21.06	156.81	13	56
好贷宝	4122.11	209	28	10.16	1.52	403	2222	3.77	199075.59	1058.14	65.6	19.72	78.65	147.22	38	0
搜易贷	3898.48	4348	532	7	4.18	876	30000	1.16	335221.42	-796.72	9.95	0.9	14.82	7.33	28	7
合拍在线	3808.92	1677	32	10.44	4.82	72	10000	154.54	90754.42	1654.58	6.5	2.27	44.34	119.03	55	69
网利宝	3579.8	1904	15	10.09	2.02	41	5000	417.68	160788.35	1650.99	9.06	1.88	39.43	238.65	29	75
金银猫	3463.62	1726	51	7.58	4.26	67	3000	297.48	162584.18	2769.97	4.38	2.01	23.84	67.91	38	80
点融网	3450.53	20	5967	9.63	14.95	6007	20000	0.01	1172945.54	687.8	99.28	172.53	0.7	0.58	46	3
人人聚财	3375.22	3347	503	10.2	6.7	504	5377	5.51	283521.64	1399.46	11.12	1.01	0.27	6.71	62	25
91旺财	3145.28	996	13	7.5	1.73	37	634	0	140175.79	-372.44	6.09	3.16	15.83	241.94	34	39
易通贷	2951.35	3210	22	13.22	4.77	160	10000	47.6	271236.78	696.74	2.79	0.92	5.47	134.15	46	0
付融宝	2868.71	1589	7010	10.76	7.11	167	11000	54.59	244516.97	1828.86	4.61	1.81	23.99	0.41	38	74
信用宝	2773.62	1048	717	11.95	10.22	1495	6875	25.14	148438.88	1170.12	6.36	2.65	67.48	3.87	44	46
福银票号	2738.24	391	18	4.33	1.51	26	3000	224.82	170374.54	2501.35	17.8	7	51.06	152.12	26	0
人人贷	2729.79	29936	413	10.14	34.62	413	10000	2.71	1411428	2377.95	0.95	0.09	0.05	6.61	75	4
众信金融	2700	528	3	7.37	3.02	3	1000	48.83	361961.39	-1201.88	19.67	5.11	69	900	31	100
紫马财行	2580	565	1	6.31	1.59	12	9999	1369.56	65225.84	-2738.23	9.91	4.57	99.81	2580	23	0
信融财富	2570.55	1325	400	13.46	9.17	437	6904	6.53	253558.6	1022.03	17.96	1.94	28.05	6.43	49	21
小微金融	2550	1384	5	13.23	2.82	51	2000	139.8	94744.15	1910.38	13	1.84	75.25	510	31	0
鹏金所	2536.68	457	112	6.13	3.44	137	67778	41.66	658759.14	444.52	59.94	5.55	17.6	22.65	25	33
金联储	2456.31	1553	17	9.9	2.57	29	10000	0	147267.28	1236.79	4.72	1.58	27.66	144.49	28	62
合时代	2434.99	1418	46	12.95	3.62	61	20000	131.33	188301.52	1116.05	2.84	1.72	5.19	52.93	39	93
小猪理财	2363	734	94	14	1	115	2000	37.91	47903.19	772.09	12.7	3.22	4.98	25.14	22	0
钱爸爸	2334.5	724	8	9.13	1.14	17	5000	254.84	97541.92	510.78	6.24	3.22	19.24	291.81	44	0
